"code","description","is_shot","is_possession_ending"
"exclusion_2min","Exclusão 2 Minutos","false","false"
"foul","Falta","false","false"
"goal","Gol","true","true"
"goalkeeper_save","Defesa de Goleira","false","false"
"red_card","Cartão Vermelho","false","false"
"seven_meter","Tiro de 7 Metros","true","true"
"shot","Arremesso","true","false"
"substitution","Substituição","false","false"
"timeout","Pedido de Tempo","false","false"
"turnover","Perda de Bola","false","true"
"yellow_card","Cartão Amarelo","false","false"